"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-10,"desktop","Direct",531,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-10,"mobile","Direct",2524,17,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-10,"tablet","Direct",398,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-10,"desktop","Display",8954,30,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-10,"mobile","Display",12461,30,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-10,"tablet","Display",2285,4,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-10,"desktop","Organic Search",7811,51,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-10,"mobile","Organic Search",7413,84,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-10,"tablet","Organic Search",1328,13,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-10,"desktop","Paid Search",1010,13,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-10,"mobile","Paid Search",2312,17,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-10,"tablet","Paid Search",611,8,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-10,"desktop","Referral",1648,13,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-10,"mobile","Referral",531,0,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-10,"tablet","Referral",372,0,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-10,"desktop","Social",479,4,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-10,"mobile","Social",4995,8,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-10,"tablet","Social",318,0,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-11,"desktop","(Other)",26,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-11,"mobile","(Other)",106,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-11,"tablet","(Other)",26,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-11,"desktop","Direct",1143,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-11,"mobile","Direct",2630,13,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
